index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,another,neutral
0,OnnMacMahal,Aug 30 2022,healing,neutral
0,OnnMacMahal,Aug 30 2022,damage,neutral
0,OnnMacMahal,Aug 30 2022,values,neutral
0,OnnMacMahal,Aug 30 2022,change,neutral
0,OnnMacMahal,Aug 30 2022,depending,neutral
0,OnnMacMahal,Aug 30 2022,stance,neutral
0,OnnMacMahal,Aug 30 2022,Likewise,neutral
0,OnnMacMahal,Aug 30 2022,Piercing,neutral
0,OnnMacMahal,Aug 30 2022,Cry,neutral
0,OnnMacMahal,Aug 30 2022,utility,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
0,OnnMacMahal,Aug 30 2022,damage,neutral
0,OnnMacMahal,Aug 30 2022,Dissonance,neutral
0,OnnMacMahal,Aug 30 2022,weaker,neutral
0,OnnMacMahal,Aug 30 2022,offensively,neutral
0,OnnMacMahal,Aug 30 2022,Resonance,neutral
0,OnnMacMahal,Aug 30 2022,Codas,neutral
0,OnnMacMahal,Aug 30 2022,traited,neutral
0,OnnMacMahal,Aug 30 2022,also,neutral
0,OnnMacMahal,Aug 30 2022,bonus,neutral
